읍면동,아파트,세대수,입주년월,Apt_name,number,floor,confirm_date,car,FAR,BC,con,heat,code,lat,long,type_capacity1,area1,room1,toilet1,structure1,n_this_area1,type_capacity2,area2,room2,toilet2,structure2,n_this_area2,type_capacity3,area3,room3,toilet3,structure3,n_this_area3,type_capacity4,area4,room4,toilet4,structure4,n_this_area4,type_capacity5,area5,room5,toilet5,structure5,n_this_area5,type_capacity6,area6,room6,toilet6,structure6,n_this_area6,type_capacity7,area7,room7,toilet7,structure7,n_this_area7,type_capacity8,area8,room8,toilet8,structure8,n_this_area8,type_capacity9,area9,room9,toilet9,structure9,n_this_area9,type_capacity10,area10,room10,toilet10,structure10,n_this_area10
용답동,YM프라젠,57,2007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동1가,e편한세상금호파크힐스,268,2019.05,e편한세상금호파크힐스,"1330세대(임대 137세대 포함, 총16개동)",8층/21층,2019년 05월 09일,1547대(세대당 1.16대),253%,21%,㈜대림산업,"개별난방, 도시가스",110936,37.554416,127.022924,85A㎡,85.84㎡/59.94㎡(전용률 70%),3개,2개,계단식,234세대,86B㎡,86.89㎡/59.98㎡(전용률 69%),3개,2개,계단식,268세대,90C㎡,90.26㎡/59.95㎡(전용률 66%),3개,2개,계단식,15세대,110A㎡,110.59㎡/84.93㎡(전용률 77%),3개,2개,계단식,378세대,113B㎡,113.01㎡/84.98㎡(전용률 75%),3개,2개,계단식,124세대,118C㎡,118.68㎡/84.95㎡(전용률 72%),3개,2개,계단식,114세대,151㎡,151.35㎡/116.13㎡(전용률 77%),4개,2개,계단식,40세대,164㎡,164.78㎡/124.62㎡(전용률 76%),4개,3개,계단식,20세대,,,,,,,,,,,,
옥수동,e편한세상옥수파크힐스,299,2016.11,e편한세상옥수파크힐스,"1976세대(임대 340세대 포함, 총25개동)",9층/20층,2016년 11월 09일,2456대(세대당 1.24대),208%,20%,대림산업(주),"개별난방, 도시가스",110938,37.548926,127.014119,82C㎡,82.64㎡/59.91㎡(전용률 72%),3개,2개,계단식,163세대,82D㎡,82.67㎡/59.59㎡(전용률 72%),3개,2개,계단식,82세대,83B㎡,83.28㎡/59.78㎡(전용률 72%),3개,2개,계단식,253세대,83A㎡,83.63㎡/59.88㎡(전용률 72%),3개,2개,계단식,213세대,83E㎡,83.86㎡/59.77㎡(전용률 71%),3개,2개,계단식,80세대,106D㎡,106.22㎡/84.64㎡(전용률 80%),3개,2개,계단식,98세대,107C㎡,107.04㎡/84.51㎡(전용률 79%),3개,2개,계단식,180세대,108T㎡,108.37㎡/76.66㎡(전용률 71%),3개,2개,계단식,12세대,109A1㎡,109.14㎡/84.3㎡(전용률 77%),3개,2개,계단식,299세대,109A2㎡,109.26㎡/84.3㎡(전용률 77%),3개,2개,복도식,66세대
성수동1가,강변건영,281,2002.02,강변건영,580세대(총6개동),8층/25층,2002년 02월 19일,660대(세대당 1.13대),301%,20%,(주)건영,"개별난방, 도시가스",3418,37.540242,127.04488,95㎡,95.56㎡/73.91㎡(전용률 77%),3개,2개,계단식,44세대,109B㎡,109.84㎡/84.95㎡(전용률 77%),3개,2개,계단식,281세대,109A㎡,109.82㎡/84.94㎡(전용률 77%),3개,2개,계단식,255세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,강변임광,58,2000.08,강변임광,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,강변풍림아이원,255,2004.1,옥수강변풍림아이원,269세대(총5개동),15층/15층,2004년 10월 29일,308대(세대당 1.14대),247%,18%,풍림산업(주),"개별난방, 도시가스",8593,37.542377,127.019528,105A㎡,105.86㎡/84.76㎡(전용률 80%),3개,2개,계단식,255세대,105B㎡,105.86㎡/84.76㎡(전용률 80%),3개,2개,계단식,14세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,강변현대,76,1993.09,강변현대,123세대(총2개동),10층/19층,1994년 03월 25일,104대(세대당 0.84대),316%,24%,현대건설(주),"개별난방, 도시가스",550,37.536371,127.050915,97㎡,97.25㎡/84.94㎡(전용률 87%),3개,1개,복도식,20세대,101㎡,101.17㎡/78.96㎡(전용률 78%),3개,1개,복도식,27세대,104㎡,104.81㎡/81.8㎡(전용률 78%),3개,1개,복도식,76세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,갤러리아포레,33,2011.07,갤러리아포레,230세대(총2개동),45층/45층,2011년 07월 29일,1504대(세대당 6.53대),399%,41%,(주)한화건설,"개별난방, 도시가스",27620,37.545722,127.042339,231A㎡,231.99㎡/167.39㎡(전용률 72%),3개,3개,계단식,2세대,232A㎡,232.59㎡/170.98㎡(전용률 74%),4개,3개,계단식,33세대,232B㎡,232.15㎡/167.9㎡(전용률 72%),3개,3개,계단식,2세대,232C㎡,232.48㎡/170.39㎡(전용률 73%),3개,3개,계단식,2세대,232D㎡,232.59㎡/170.88㎡(전용률 73%),3개,3개,계단식,2세대,232E㎡,232.54㎡/171.09㎡(전용률 74%),3개,3개,계단식,2세대,,,,,,,233C㎡,233.33㎡/169.09㎡(전용률 72%),3개,3개,계단식,2세대,266D㎡,266.75㎡/195.2㎡(전용률 73%),3개,3개,계단식,32세대,266A㎡,266.35㎡/194.45㎡(전용률 73%),5개,3개,계단식,2세대
송정동,건영,216,2000.05,송정건영,447세대(총3개동),13층/25층,2000년 05월 10일,449대(세대당 1대),349%,22%,(주)건 영,"개별난방, 도시가스",1178,37.556024,127.070258,86B㎡,86.42㎡/59.21㎡(전용률 69%),2개,1개,복도식,123세대,87A㎡,87.33㎡/59.83㎡(전용률 69%),3개,1개,복도식,76세대,107㎡,107.82㎡/84.94㎡(전용률 79%),3개,2개,복합식,216세대,136㎡,136.49㎡/110.08㎡(전용률 81%),4개,2개,계단식,32세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,극동,210,1986.12,옥수극동,900세대(총8개동),15층/15층,1986년 12월 24일,900대(세대당 1대),219%,17%,극동건설,"중앙난방, 도시가스",562,37.54326,127.0115,80㎡,80.09㎡/57.78㎡(전용률 72%),2개,1개,복도식,150세대,91㎡,91.34㎡/68.58㎡(전용률 75%),2개,1개,복도식,210세대,101㎡,101㎡/84.74㎡(전용률 84%),3개,1개,계단식,180세대,164㎡,164.06㎡/142.26㎡(전용률 87%),5개,2개,계단식,180세대,170㎡,170.42㎡/148.23㎡(전용률 87%),5개,2개,계단식,180세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
